,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,PositiveSentiment,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating
1115,1116,4.0,2.0,3.0,47.0,38,No,Travel_Frequently,Research & Development,4,2,Medical,1,Female,1,Manager,Divorced,44440,1.0,Y,13,8,0,20.0,2,20,0,7,3,3
1116,1117,4.0,4.0,2.0,70.0,58,No,Travel_Rarely,Sales,5,3,Marketing,1,Male,5,Sales Representative,Married,21540,4.0,Y,21,8,1,29.0,3,1,0,0,3,4
1117,1118,1.0,3.0,3.0,71.5,32,Yes,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,2,Laboratory Technician,Single,191900,3.0,Y,17,8,1,8.0,2,4,0,3,3,3
1118,1119,2.0,4.0,4.0,70.0,38,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Female,1,Sales Representative,Divorced,44900,2.0,Y,21,8,1,10.0,1,5,0,3,3,4
1119,1120,2.0,4.0,3.0,91.25,49,No,Travel_Frequently,Sales,11,4,Life Sciences,1,Male,2,Research Scientist,Married,35060,3.0,Y,11,8,1,28.0,4,5,4,3,2,3
1120,1121,2.0,4.0,3.0,70.25,42,No,Travel_Rarely,Sales,1,3,Life Sciences,1,Female,1,Sales Executive,Divorced,23720,3.0,Y,12,8,1,14.0,3,0,0,0,3,3
1121,1122,1.0,2.0,3.0,31.43,27,Yes,Travel_Frequently,Sales,8,1,Life Sciences,1,Male,4,Laboratory Technician,Married,102310,1.0,Y,13,8,1,1.0,2,1,0,0,3,3
1122,1123,2.0,1.0,1.0,21.39,35,No,Travel_Rarely,Research & Development,25,1,Medical,1,Male,1,Sales Executive,Married,54100,0.0,Y,18,8,0,6.0,4,5,0,4,3,3
1123,1124,3.0,3.0,2.0,81.0,28,No,Non-Travel,Research & Development,21,1,Medical,1,Male,3,Research Scientist,Single,79780,1.0,Y,16,8,2,5.0,2,5,1,4,3,3
1124,1125,3.0,1.0,4.0,22.0,31,No,Non-Travel,Sales,23,1,Medical,1,Male,1,Sales Executive,Divorced,38670,1.0,Y,11,8,1,4.0,4,4,2,3,4,3
1125,1126,1.0,2.0,3.0,46.25,36,No,Non-Travel,Research & Development,1,3,Life Sciences,1,Male,2,Research Scientist,Married,28380,1.0,Y,19,8,2,5.0,5,5,0,2,1,3
1126,1127,1.0,4.0,2.0,70.0,34,No,Travel_Rarely,Sales,2,3,Marketing,1,Male,4,Healthcare Representative,Single,46950,1.0,Y,16,8,1,14.0,2,14,2,1,3,3
1127,1128,4.0,3.0,2.0,71.5,34,No,Travel_Rarely,Research & Development,19,3,Technical Degree,1,Female,1,Research Director,Divorced,33390,1.0,Y,16,8,0,9.0,2,8,1,1,2,3
1128,1129,3.0,1.0,2.0,22.0,26,No,Travel_Rarely,Research & Development,2,2,Life Sciences,1,Male,2,Research Scientist,Single,20800,0.0,Y,13,8,0,8.0,6,7,7,6,4,3
1129,1130,1.0,1.0,2.0,21.25,29,No,Travel_Rarely,Research & Development,2,4,Other,1,Male,2,Laboratory Technician,Married,20960,0.0,Y,22,8,0,6.0,2,5,0,2,4,4
1130,1131,3.0,4.0,3.0,82.0,32,No,Non-Travel,Research & Development,3,1,Life Sciences,1,Male,3,Manager,Divorced,62090,5.0,Y,17,8,1,9.0,5,5,1,2,4,3
1131,1132,4.0,1.0,3.0,20.5,31,No,Travel_Frequently,Research & Development,25,5,Technical Degree,1,Female,2,Human Resources,Married,180610,1.0,Y,14,8,1,10.0,2,10,8,7,3,3
1132,1133,3.0,4.0,2.0,82.25,28,Yes,Travel_Rarely,Sales,7,5,Life Sciences,1,Female,2,Sales Representative,Divorced,171230,5.0,Y,15,8,1,6.0,2,4,0,3,2,3
1133,1134,1.0,1.0,2.0,21.25,38,No,Travel_Rarely,Research & Development,9,2,Technical Degree,1,Male,3,Sales Representative,Single,23720,4.0,Y,12,8,0,20.0,3,1,0,0,2,3
1134,1135,3.0,4.0,3.0,91.0,35,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,Male,2,Sales Representative,Married,48830,1.0,Y,18,8,1,10.0,1,10,0,9,1,3
1135,1136,4.0,4.0,3.0,93.56,27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,Female,1,Manager,Single,39040,1.0,Y,15,8,0,7.0,2,7,0,7,3,3
1136,1137,4.0,4.0,3.0,91.25,32,No,Travel_Rarely,Research & Development,8,1,Medical,1,Female,2,Research Scientist,Single,46270,8.0,Y,17,8,1,8.0,2,1,0,0,2,3
1137,1138,1.0,4.0,3.0,82.5,31,Yes,Travel_Frequently,Research & Development,2,1,Other,1,Male,3,Sales Executive,Married,70940,1.0,Y,14,8,1,10.0,2,10,0,8,3,3
1138,1139,1.0,1.0,2.0,21.0,53,Yes,Travel_Rarely,Research & Development,18,3,Medical,1,Male,1,Research Scientist,Single,34230,6.0,Y,15,8,1,15.0,4,2,2,2,3,3
1139,1140,1.0,3.0,2.0,72.25,54,No,Travel_Rarely,Research & Development,14,3,Other,1,Male,3,Research Scientist,Married,66740,3.0,Y,17,8,1,9.0,2,4,2,3,3,3
1140,1141,4.0,3.0,3.0,70.25,33,No,Travel_Frequently,Research & Development,2,4,Medical,1,Female,4,Sales Executive,Divorced,168800,1.0,Y,14,8,3,9.0,2,9,2,8,3,3
1141,1142,1.0,3.0,3.0,70.0,43,No,Travel_Rarely,Research & Development,3,3,Medical,1,Male,1,Research Scientist,Married,90940,1.0,Y,12,8,1,10.0,0,10,0,9,3,3
1142,1143,4.0,2.0,3.0,47.0,38,No,Travel_Frequently,Research & Development,2,5,Medical,1,Female,4,Sales Executive,Married,84460,0.0,Y,14,8,0,7.0,3,6,1,2,2,3
1143,1144,3.0,2.0,3.0,47.25,55,No,Travel_Rarely,Sales,9,3,Marketing,1,Male,2,Laboratory Technician,Married,119160,4.0,Y,15,8,1,35.0,3,10,1,4,2,3
1144,1145,4.0,4.0,3.0,91.5,31,No,Travel_Rarely,Sales,6,3,Other,1,Male,1,Manufacturing Director,Divorced,45340,1.0,Y,13,8,0,1.0,2,1,0,0,3,3
1145,1146,2.0,1.0,3.0,21.0,39,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Male,2,Sales Executive,Single,98520,0.0,Y,12,8,1,21.0,5,20,11,10,2,3
1146,1147,4.0,3.0,3.0,71.5,42,No,Non-Travel,Research & Development,10,4,Life Sciences,1,Female,2,Research Scientist,Single,61510,1.0,Y,13,8,1,20.0,3,20,3,7,3,3
1147,1148,3.0,3.0,4.0,71.25,31,No,Non-Travel,Research & Development,14,2,Life Sciences,1,Male,2,Healthcare Representative,Married,23020,4.0,Y,14,8,0,13.0,3,11,4,8,3,3
1148,1149,3.0,1.0,3.0,22.0,54,No,Travel_Rarely,Research & Development,1,3,Medical,1,Female,2,Human Resources,Single,23620,6.0,Y,13,8,1,9.0,2,5,1,4,4,3
1149,1150,2.0,3.0,2.0,71.0,24,No,Travel_Rarely,Research & Development,5,4,Other,1,Male,1,Manufacturing Director,Single,178610,1.0,Y,11,8,2,4.0,5,4,1,2,1,3
1150,1151,4.0,4.0,4.0,70.25,23,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Male,2,Research Scientist,Single,191870,1.0,Y,11,8,1,5.0,2,5,1,4,3,3
1151,1152,4.0,3.0,4.0,70.0,40,No,Travel_Frequently,Research & Development,21,3,Medical,1,Female,3,Research Scientist,Married,197170,1.0,Y,21,8,0,10.0,1,10,9,4,2,4
1152,1153,2.0,2.0,3.0,31.43,40,No,Travel_Rarely,Research & Development,8,1,Medical,1,Female,5,Research Scientist,Married,35440,3.0,Y,18,8,3,15.0,3,11,5,10,2,3
1153,1154,3.0,2.0,3.0,31.43,25,No,Travel_Rarely,Sales,20,5,Medical,1,Female,2,Laboratory Technician,Married,85000,4.0,Y,12,8,0,6.0,2,2,1,2,3,3
1154,1155,4.0,2.0,2.0,46.25,30,No,Travel_Rarely,Human Resources,20,4,Life Sciences,1,Male,2,Research Scientist,Married,46610,1.0,Y,11,8,0,12.0,3,12,1,7,2,3
1155,1156,4.0,3.0,2.0,70.25,25,No,Travel_Rarely,Research & Development,7,2,Medical,1,Male,5,Sales Executive,Divorced,41030,6.0,Y,15,8,1,7.0,2,2,0,2,3,3
1156,1157,1.0,3.0,3.0,71.0,47,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,Sales Executive,Single,42490,2.0,Y,13,8,1,25.0,2,17,12,11,2,3
1157,1158,2.0,3.0,2.0,72.5,33,No,Non-Travel,Research & Development,1,3,Life Sciences,1,Male,2,Research Scientist,Divorced,140260,1.0,Y,12,8,0,1.0,4,1,0,0,3,3
1158,1159,4.0,2.0,3.0,47.25,38,No,Travel_Rarely,Research & Development,19,3,Life Sciences,1,Female,2,Sales Executive,Married,68930,0.0,Y,17,8,0,16.0,3,15,5,8,3,3
1159,1160,1.0,3.0,3.0,70.0,31,No,Travel_Rarely,Research & Development,10,4,Medical,1,Female,3,Sales Executive,Married,61250,0.0,Y,13,8,1,3.0,3,2,1,2,3,3
1160,1161,1.0,3.0,3.0,70.25,38,No,Travel_Frequently,Research & Development,1,4,Other,1,Male,2,Research Scientist,Married,36690,2.0,Y,19,8,0,10.0,2,8,7,7,3,3
1161,1162,4.0,1.0,2.0,20.5,42,No,Travel_Rarely,Research & Development,6,3,Medical,1,Male,2,Laboratory Technician,Divorced,100080,6.0,Y,19,8,1,9.0,3,4,1,2,1,3
1162,1163,4.0,4.0,3.0,70.26,41,No,Travel_Rarely,Sales,2,2,Medical,1,Male,1,Healthcare Representative,Married,23870,3.0,Y,17,8,1,12.0,1,5,1,0,1,3
1163,1164,3.0,2.0,1.0,46.0,47,No,Non-Travel,Research & Development,21,2,Medical,1,Male,1,Sales Executive,Married,46390,0.0,Y,11,8,1,14.0,2,13,5,12,2,3
1164,1165,4.0,3.0,3.0,70.25,35,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Male,2,Healthcare Representative,Married,78980,7.0,Y,15,8,0,5.0,2,2,2,2,2,3
1165,1166,4.0,3.0,4.0,71.0,22,No,Travel_Rarely,Human Resources,12,1,Human Resources,1,Male,2,Sales Executive,Single,25340,0.0,Y,11,8,0,4.0,1,3,1,2,3,3
1166,1167,2.0,3.0,3.0,72.0,35,No,Travel_Rarely,Research & Development,9,3,Medical,1,Female,2,Sales Executive,Single,131420,1.0,Y,25,8,2,10.0,4,10,0,8,3,4
1167,1168,2.0,4.0,3.0,70.0,33,No,Travel_Rarely,Sales,3,4,Medical,1,Male,3,Healthcare Representative,Married,16110,0.0,Y,14,8,0,10.0,2,9,8,1,2,3
1168,1169,3.0,2.0,3.0,47.0,32,No,Travel_Rarely,Research & Development,3,2,Technical Degree,1,Male,3,Manufacturing Director,Single,53630,1.0,Y,13,8,0,6.0,4,6,4,1,3,3
1169,1170,1.0,4.0,2.0,70.25,40,No,Travel_Rarely,Research & Development,1,4,Medical,1,Male,2,Research Director,Married,50710,8.0,Y,17,8,1,8.0,3,1,0,0,2,3
1170,1171,2.0,2.0,3.0,46.0,32,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,Sales Executive,Married,136950,0.0,Y,13,8,0,3.0,3,2,2,2,3,3
1171,1172,1.0,4.0,3.0,91.5,39,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,1,Sales Executive,Single,134020,7.0,Y,14,8,1,18.0,1,7,1,7,3,3
1172,1173,2.0,3.0,3.0,72.0,38,No,Travel_Rarely,Sales,20,4,Medical,1,Female,2,Research Director,Married,20290,3.0,Y,11,8,1,20.0,3,18,1,11,2,3
1173,1174,3.0,4.0,3.0,91.5,32,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Male,2,Manager,Married,63770,1.0,Y,12,8,2,14.0,3,14,5,7,3,3
1174,1175,3.0,4.0,3.0,91.5,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,4,Sales Executive,Married,54290,1.0,Y,17,8,1,16.0,3,16,6,8,3,3
1175,1176,1.0,3.0,2.0,71.5,25,No,Travel_Rarely,Research & Development,2,4,Medical,1,Female,2,Manufacturing Director,Divorced,27850,0.0,Y,21,8,0,6.0,2,5,0,4,3,4
1176,1177,1.0,4.0,2.0,70.0,52,No,Non-Travel,Research & Development,2,4,Other,1,Male,1,Manager,Divorced,46140,2.0,Y,16,8,1,16.0,3,9,0,0,3,3
1177,1178,2.0,4.0,3.0,70.25,44,No,Travel_Rarely,Research & Development,8,1,Life Sciences,1,Female,1,Sales Representative,Single,26100,6.0,Y,15,8,0,6.0,2,4,1,2,3,3
1178,1179,3.0,1.0,3.0,22.0,21,No,Travel_Rarely,Sales,10,5,Medical,1,Male,3,Research Scientist,Single,66870,1.0,Y,19,8,3,2.0,0,2,1,2,3,3
1179,1180,4.0,4.0,2.0,93.56,39,No,Non-Travel,Research & Development,3,4,Life Sciences,1,Female,2,Research Director,Single,47240,2.0,Y,12,8,1,21.0,4,6,1,3,4,3
1180,1181,4.0,1.0,2.0,21.39,23,Yes,Travel_Frequently,Research & Development,2,4,Life Sciences,1,Female,2,Manufacturing Director,Married,61790,1.0,Y,11,8,0,1.0,3,1,1,0,3,3
1181,1182,1.0,4.0,3.0,82.5,36,No,Travel_Rarely,Research & Development,24,3,Life Sciences,1,Female,2,Laboratory Technician,Married,61200,0.0,Y,19,8,0,10.0,2,9,3,4,3,3
1182,1183,4.0,2.0,3.0,45.0,36,No,Travel_Frequently,Research & Development,16,1,Medical,1,Male,2,Sales Executive,Divorced,105960,7.0,Y,15,8,0,18.0,3,4,0,2,2,3
1183,1184,3.0,3.0,2.0,71.39,56,No,Non-Travel,Research & Development,8,1,Life Sciences,1,Male,1,Sales Executive,Divorced,54670,1.0,Y,20,8,0,13.0,6,13,1,9,2,4
1184,1185,1.0,4.0,4.0,91.0,29,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,Male,2,Sales Representative,Married,29960,9.0,Y,25,8,0,4.0,4,2,2,2,3,4
1185,1186,1.0,3.0,2.0,72.25,42,No,Travel_Rarely,Research & Development,17,1,Life Sciences,1,Male,3,Research Scientist,Married,99980,5.0,Y,24,8,2,24.0,3,22,4,14,2,4
1186,1187,4.0,3.0,1.0,71.0,56,Yes,Travel_Rarely,Sales,10,4,Other,1,Male,2,Sales Executive,Married,40780,8.0,Y,24,8,1,14.0,3,10,9,8,3,4
1187,1188,1.0,2.0,3.0,45.33,41,No,Travel_Rarely,Research & Development,13,4,Life Sciences,1,Female,1,Healthcare Representative,Married,109200,0.0,Y,15,8,1,21.0,3,20,0,10,4,3
1188,1189,4.0,3.0,3.0,71.25,34,No,Travel_Rarely,Sales,1,3,Medical,1,Female,1,Laboratory Technician,Married,62320,1.0,Y,13,8,1,8.0,3,8,1,7,3,3
1189,1190,4.0,4.0,2.0,82.5,36,No,Non-Travel,Sales,1,1,Medical,1,Female,1,Human Resources,Divorced,132470,1.0,Y,14,8,0,15.0,3,15,11,11,3,3
1190,1191,3.0,2.0,3.0,27.5,41,No,Travel_Rarely,Research & Development,1,5,Medical,1,Male,1,Healthcare Representative,Divorced,40810,2.0,Y,13,8,0,14.0,3,5,0,4,3,3
1191,1192,4.0,1.0,3.0,22.0,32,No,Travel_Rarely,Sales,9,4,Life Sciences,1,Female,2,Research Scientist,Single,57690,1.0,Y,11,8,0,4.0,3,4,1,2,3,3
1192,1193,3.0,4.0,3.0,91.0,35,No,Travel_Rarely,Research & Development,16,3,Medical,1,Female,2,Healthcare Representative,Single,23940,1.0,Y,16,8,1,9.0,3,9,1,7,3,3
1193,1194,1.0,4.0,3.0,91.5,38,No,Travel_Rarely,Research & Development,23,3,Medical,1,Male,3,Sales Representative,Married,39040,1.0,Y,22,8,0,10.0,3,10,1,9,2,4
1194,1195,2.0,3.0,3.0,71.0,50,Yes,Travel_Frequently,Sales,4,2,Life Sciences,1,Female,2,Laboratory Technician,Divorced,167990,7.0,Y,14,8,1,12.0,2,6,0,1,2,3
1196,1197,4.0,3.0,3.0,71.25,45,No,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,1,Laboratory Technician,Single,36290,8.0,Y,16,8,1,8.0,2,5,0,1,4,3
1198,1199,3.0,3.0,4.0,70.37,35,No,Travel_Frequently,Sales,7,2,Life Sciences,1,Male,2,Manufacturing Director,Married,32290,1.0,Y,25,8,0,10.0,2,10,0,2,2,4
1199,1200,3.0,3.0,3.0,70.5,40,No,Travel_Rarely,Research & Development,17,4,Life Sciences,1,Male,1,Manager,Married,35780,2.0,Y,14,8,1,20.0,2,5,0,2,3,3
1200,1201,3.0,4.0,3.0,82.5,35,No,Travel_Rarely,Human Resources,14,1,Life Sciences,1,Male,2,Research Scientist,Married,79880,1.0,Y,18,8,0,4.0,3,4,1,1,3,3
1201,1202,4.0,2.0,3.0,45.25,29,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,Sales Executive,Married,42840,4.0,Y,11,8,0,10.0,5,4,0,3,2,3
1202,1203,4.0,1.0,1.0,21.5,29,No,Travel_Rarely,Research & Development,5,3,Medical,1,Male,2,Sales Representative,Single,75530,1.0,Y,19,8,0,5.0,3,5,0,4,3,3
1203,1204,4.0,1.0,3.0,21.0,50,Yes,Travel_Rarely,Research & Development,17,3,Medical,1,Male,1,Research Scientist,Divorced,173280,4.0,Y,15,8,2,20.0,1,3,2,0,3,3
1204,1205,2.0,4.0,2.0,91.25,39,No,Travel_Rarely,Sales,25,3,Medical,1,Male,2,Sales Executive,Married,197010,0.0,Y,11,8,0,21.0,3,20,9,6,4,3
1205,1206,2.0,1.0,3.0,22.0,31,No,Non-Travel,Research & Development,8,4,Life Sciences,1,Female,4,Sales Executive,Single,147320,0.0,Y,12,8,0,10.0,3,9,1,7,3,3
1206,1207,4.0,3.0,3.0,71.5,26,No,Travel_Rarely,Research & Development,11,4,Medical,1,Male,2,Manager,Single,92780,0.0,Y,20,8,0,5.0,3,4,0,0,3,4
1207,1208,3.0,4.0,3.0,91.5,36,No,Travel_Frequently,Research & Development,5,1,Technical Degree,1,Male,1,Sales Executive,Married,13590,4.0,Y,12,8,0,17.0,2,5,0,3,3,3
1208,1209,4.0,1.0,3.0,21.0,39,No,Travel_Rarely,Research & Development,2,1,Medical,1,Female,1,Research Scientist,Married,47790,4.0,Y,14,8,2,9.0,3,7,1,7,3,3
1209,1210,2.0,2.0,3.0,45.25,27,No,Travel_Rarely,Research & Development,8,2,Medical,1,Male,1,Laboratory Technician,Married,164220,1.0,Y,20,8,1,6.0,3,6,0,3,3,4
1210,1211,4.0,2.0,2.0,47.5,49,No,Travel_Frequently,Research & Development,6,1,Medical,1,Male,3,Healthcare Representative,Married,29960,2.0,Y,18,8,1,17.0,2,9,0,8,2,3
1211,1212,2.0,3.0,4.0,71.39,34,No,Travel_Rarely,Sales,4,3,Medical,1,Female,1,Sales Executive,Married,12610,2.0,Y,14,8,1,6.0,6,4,1,2,3,3
1212,1213,2.0,4.0,1.0,82.5,41,Yes,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Female,1,Research Scientist,Single,20990,8.0,Y,12,8,1,8.0,2,6,0,5,3,3
1213,1214,3.0,2.0,3.0,45.25,49,No,Travel_Frequently,Sales,1,4,Life Sciences,1,Female,2,Manufacturing Director,Married,58100,1.0,Y,21,8,1,10.0,2,10,1,7,3,4
1214,1215,4.0,3.0,3.0,72.25,37,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,1,Sales Executive,Single,56470,6.0,Y,19,8,0,7.0,2,0,0,0,3,3
1215,1216,4.0,3.0,3.0,72.0,33,No,Travel_Frequently,Research & Development,10,2,Medical,1,Male,2,Research Scientist,Married,34200,1.0,Y,14,8,0,8.0,3,8,3,0,3,3
1216,1217,1.0,2.0,3.0,31.43,27,No,Travel_Rarely,Sales,5,4,Medical,1,Female,4,Manufacturing Director,Married,44000,9.0,Y,17,8,1,6.0,3,2,2,2,2,3
1217,1218,4.0,4.0,2.0,82.25,32,No,Travel_Frequently,Research & Development,9,2,Medical,1,Female,2,Research Scientist,Single,35000,0.0,Y,16,8,1,8.0,2,7,3,6,2,3
1218,1219,3.0,1.0,2.0,21.0,59,No,Travel_Rarely,Sales,2,2,Marketing,1,Female,5,Sales Representative,Married,20660,4.0,Y,12,8,1,12.0,3,1,0,0,3,3
1219,1220,4.0,3.0,3.0,72.5,30,No,Travel_Rarely,Research & Development,11,4,Medical,1,Male,2,Laboratory Technician,Divorced,171690,1.0,Y,17,8,2,1.0,2,1,0,0,3,3
1220,1221,4.0,3.0,3.0,72.25,38,No,Travel_Frequently,Sales,18,4,Life Sciences,1,Male,2,Healthcare Representative,Single,41620,0.0,Y,15,8,1,10.0,1,9,1,8,3,3
1221,1222,3.0,3.0,2.0,71.5,36,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Male,1,Sales Executive,Married,92040,6.0,Y,23,8,1,17.0,2,7,7,7,3,4
1222,1223,1.0,2.0,3.0,47.0,35,No,Travel_Rarely,Human Resources,3,4,Human Resources,1,Male,2,Manager,Married,32940,0.0,Y,11,8,0,6.0,2,5,0,3,3,3
1223,1224,4.0,3.0,3.0,71.25,29,No,Travel_Rarely,Sales,29,4,Life Sciences,1,Male,2,Laboratory Technician,Single,21270,0.0,Y,11,8,1,10.0,3,9,0,8,2,3
1225,1226,2.0,4.0,3.0,82.25,34,No,Travel_Rarely,Research & Development,28,3,Technical Degree,1,Male,1,Laboratory Technician,Divorced,107930,0.0,Y,11,8,3,3.0,1,2,1,2,2,3
1226,1227,3.0,3.0,3.0,70.37,28,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,5,Research Director,Single,100960,5.0,Y,13,8,0,6.0,2,4,0,3,3,3
1227,1228,2.0,1.0,3.0,52.0,29,No,Travel_Rarely,Research & Development,16,2,Life Sciences,1,Female,4,Laboratory Technician,Divorced,36460,1.0,Y,14,8,0,10.0,3,10,8,8,4,3
1228,1229,1.0,2.0,2.0,46.0,32,No,Travel_Rarely,Human Resources,22,3,Human Resources,1,Female,2,Research Director,Divorced,74460,0.0,Y,19,8,0,7.0,3,6,0,5,3,3
1229,1230,4.0,4.0,2.0,70.33,22,No,Non-Travel,Research & Development,8,3,Life Sciences,1,Female,3,Sales Executive,Divorced,108510,1.0,Y,16,8,1,1.0,2,1,0,0,4,3
1230,1231,1.0,4.0,3.0,70.25,53,No,Travel_Rarely,Research & Development,11,3,Medical,1,Male,2,Manager,Married,21090,2.0,Y,13,8,0,31.0,3,25,3,7,3,3
1231,1232,4.0,4.0,3.0,91.5,38,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Female,1,Manufacturing Director,Single,37220,5.0,Y,14,8,0,6.0,0,3,1,2,3,3
1232,1233,1.0,3.0,2.0,70.0,24,No,Non-Travel,Research & Development,1,5,Life Sciences,1,Male,3,Research Scientist,Divorced,93800,0.0,Y,16,8,0,5.0,2,4,1,3,2,3
1233,1234,3.0,1.0,3.0,21.0,36,Yes,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,1,Research Director,Single,54860,7.0,Y,12,8,1,10.0,2,5,0,3,3,3
1234,1235,1.0,2.0,3.0,45.0,34,No,Travel_Rarely,Sales,24,3,Marketing,1,Male,4,Research Scientist,Single,27420,0.0,Y,11,8,1,13.0,2,12,2,11,3,3
1235,1236,3.0,4.0,3.0,82.0,21,No,Travel_Rarely,Sales,2,3,Life Sciences,1,Male,2,Manufacturing Director,Single,137570,1.0,Y,12,8,1,0.0,3,0,0,0,3,3
1236,1237,2.0,1.0,3.0,20.5,34,Yes,Travel_Rarely,Sales,15,2,Marketing,1,Female,2,Research Scientist,Single,84630,2.0,Y,13,8,0,8.0,2,4,1,3,1,3
1237,1238,3.0,3.0,2.0,71.25,53,No,Travel_Rarely,Sales,2,1,Life Sciences,1,Male,5,Human Resources,Divorced,31620,4.0,Y,15,8,0,26.0,4,14,4,8,3,3
1238,1239,2.0,1.0,3.0,20.5,32,Yes,Travel_Frequently,Research & Development,10,3,Medical,1,Female,2,Manufacturing Director,Single,165980,1.0,Y,13,8,0,10.0,2,10,6,7,3,3
1239,1240,3.0,2.0,3.0,47.5,42,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,Male,2,Laboratory Technician,Married,66510,0.0,Y,20,8,0,10.0,5,9,4,2,2,4
1240,1241,1.0,4.0,3.0,91.25,44,No,Travel_Rarely,Research & Development,3,1,Life Sciences,1,Female,1,Manufacturing Director,Married,23450,3.0,Y,15,8,2,24.0,0,22,5,17,3,3
1241,1242,2.0,1.0,2.0,22.25,46,No,Travel_Rarely,Sales,2,3,Life Sciences,1,Female,1,Research Scientist,Single,34200,3.0,Y,13,8,2,22.0,3,2,2,1,1,3
1242,1243,3.0,4.0,3.0,91.5,33,No,Travel_Rarely,Sales,3,3,Medical,1,Male,1,Manufacturing Director,Single,43730,4.0,Y,14,8,0,7.0,3,1,0,0,3,3
1243,1244,4.0,4.0,4.0,82.25,44,No,Travel_Rarely,Human Resources,26,3,Life Sciences,1,Male,5,Healthcare Representative,Married,47590,2.0,Y,21,8,0,9.0,2,4,1,3,3,4
1244,1245,4.0,3.0,3.0,71.5,30,No,Travel_Rarely,Research & Development,1,4,Technical Degree,1,Female,1,Research Scientist,Single,53010,1.0,Y,16,8,1,10.0,3,10,1,8,3,3
1245,1246,4.0,4.0,4.0,70.25,39,Yes,Travel_Rarely,Human Resources,1,4,Medical,1,Male,1,Sales Executive,Married,36730,3.0,Y,14,8,1,19.0,3,1,0,0,3,3
1246,1247,2.0,4.0,2.0,70.26,24,Yes,Travel_Rarely,Human Resources,2,5,Human Resources,1,Male,3,Sales Executive,Married,47680,2.0,Y,11,8,1,6.0,2,2,2,0,2,3
1247,1248,4.0,3.0,2.0,71.39,43,No,Travel_Rarely,Sales,9,5,Technical Degree,1,Female,1,Research Director,Divorced,12740,1.0,Y,19,8,0,6.0,3,5,1,4,2,3
1248,1249,1.0,3.0,3.0,72.5,50,Yes,Travel_Rarely,Research & Development,12,4,Medical,1,Male,1,Research Director,Married,49000,1.0,Y,11,8,0,3.0,3,3,0,2,2,3
1249,1250,4.0,4.0,3.0,91.25,35,No,Travel_Rarely,Sales,2,4,Marketing,1,Male,3,Manufacturing Director,Married,104660,1.0,Y,13,8,0,2.0,1,2,2,2,3,3
1250,1251,2.0,1.0,4.0,20.0,36,No,Travel_Rarely,Research & Development,25,1,Life Sciences,1,Female,4,Sales Executive,Married,170070,9.0,Y,12,8,1,6.0,2,1,0,0,2,3
1251,1252,3.0,1.0,3.0,20.25,33,No,Travel_Frequently,Sales,9,2,Marketing,1,Male,4,Human Resources,Married,29090,2.0,Y,11,8,0,10.0,2,5,1,3,2,3
1252,1253,3.0,4.0,3.0,70.33,35,No,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,Research Scientist,Divorced,57650,1.0,Y,14,8,1,1.0,2,1,0,0,3,3
1253,1254,4.0,1.0,3.0,21.25,27,No,Travel_Rarely,Sales,8,2,Marketing,1,Female,3,Research Scientist,Divorced,45990,1.0,Y,15,8,1,1.0,3,1,0,0,2,3
1254,1255,1.0,3.0,2.0,71.0,26,Yes,Travel_Rarely,Sales,4,3,Marketing,1,Male,2,Manager,Single,24040,1.0,Y,12,8,0,1.0,6,1,0,1,3,3
1255,1256,4.0,3.0,3.0,72.0,27,No,Travel_Frequently,Sales,24,3,Life Sciences,1,Male,4,Healthcare Representative,Single,31720,1.0,Y,20,8,1,9.0,1,9,1,7,3,4
